구역,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9403794037940381,0.9411764705882353,0.9166666666666666,0.8682242990654205,0.6613856703712462,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,0.8655665020971213,85.46306611114227
강동구,0.14634146341463417,0.05882352941176466,0.16666666666666666,0.4059190031152648,0.28966658784582644,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,0.21348345009083136,85.55022576390748
강북구,0.1382113821138211,0.5294117647058822,0.41666666666666663,0.11557632398753898,0.2747694490423268,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,330192.0,748,0.29492711730324717,94.07072761768072
관악구,1.0,0.7647058823529411,0.8333333333333334,1.0,0.9139276424686686,72.82377919320594,100.0,100.0,40.13573601684999,82.54857997010463,525515.0,1496,0.9023933716309888,91.42726359068234
광진구,0.37398373983739835,0.5294117647058822,0.16666666666666666,0.6115264797507789,0.26909434854575554,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372164.0,707,0.39013659990129634,96.37581975731734
구로구,0.4850948509485095,0.588235294117647,0.5,0.3962616822429907,0.35942303144951526,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,447874.0,1561,0.46580297175173246,75.27790635466599
노원구,0.25745257452574527,0.11764705882352938,0.6666666666666666,0.35202492211838005,0.2922676755734216,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,569384.0,1265,0.3372117795415486,88.64617415331136
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,348646.0,485,0.06372549019607843,100.0
동대문구,0.19241192411924118,0.4705882352941176,0.24999999999999997,0.285981308411215,0.25088673445258924,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,0.2899736404554326,95.44425044106504
동작구,0.4959349593495935,0.23529411764705882,0.24999999999999997,0.24984423676012463,0.10002364625206905,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,412520.0,1091,0.26621939200176914,74.63336788530299
마포구,0.5203252032520325,0.5294117647058822,0.5,0.46479750778816203,0.353747930952944,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,389649.0,574,0.4736564813398041,85.92538102511915
서대문구,0.14092140921409213,0.0,0.0,0.23333333333333334,0.13454717427287777,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,327163.0,962,0.10176038336406065,88.87514434317907
서초구,0.7886178861788617,0.23529411764705882,0.5,0.48971962616822434,0.21565381886970914,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,0.44585708977277083,77.1816918763104
성동구,0.06504065040650409,0.23529411764705882,0.16666666666666666,0.16947040498442373,0.029557815086308836,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.13320593095819244,94.08881015517144
성북구,0.13008130081300812,0.0,0.24999999999999997,0.22492211838006232,0.1707259399385198,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,461260.0,1464,0.15514587182631806,89.72724267775804
송파구,0.31978319783197834,0.4705882352941176,0.75,0.6778816199376947,0.42752423740837076,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,667483.0,618,0.5291554580944322,85.10306586921345
양천구,0.7588075880758809,0.8235294117647058,0.6666666666666666,0.9105919003115266,1.0,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,479978.0,2034,0.831919113363756,90.90114949235905
영등포구,0.5230352303523036,1.0,0.9999999999999999,0.5922118380062307,0.4930243556396311,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402985.0,904,0.721654284799633,81.95875250321699
용산구,0.24932249322493222,0.5294117647058822,0.24999999999999997,0.15389408099688479,0.13312839914873498,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,244203.0,1624,0.2631513476152868,94.77678951004307
은평구,0.17344173441734417,0.23529411764705882,0.08333333333333334,0.2651090342679128,0.27571529912508874,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,494388.0,1873,0.2065787037581476,86.84238612008086
종로구,0.2953929539295393,0.35294117647058826,0.33333333333333337,0.3492211838006231,0.19058879167651932,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,162820.0,1002,0.3042954878421207,84.14183528687248
중구,0.1842818428184282,0.23529411764705882,0.08333333333333334,0.4626168224299066,0.1742728777488768,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,133240.0,671,0.22795979879552072,74.12265003790951
중랑구,0.2303523035230352,0.35294117647058826,0.9166666666666666,0.3339563862928349,0.32158902813904,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414503.0,660,0.431101112218433,87.06666281875579
